name,rating,instructions,type,muscle,equipment,level
Pushups,9,"{""Lie on the floor face down and place your hands about 36 inches apart while holding your torso up at arms length."",""Next, lower yourself downward until your chest almost touches the floor as you inhale."",""Now breathe out and press your upper body back up to the starting position while squeezing your chest."",""After a brief pause at the top contracted position, you can begin to lower yourself downward again for as many repetitions as needed.""}",Strength,Chest,Body Only,Intermediate
Close-grip bench press,8.9,"{""Lie back on a flat bench. Using a close grip (around shoulder width), lift the bar from the rack and hold it straight over you with your arms locked. This will be your starting position."",""As you breathe in, come down slowly until you feel the bar on your middle chest. Tip: Make sure that - as opposed to a regular bench press - you keep the elbows close to the torso at all times in order to maximize triceps involvement."",""After a second pause, bring the bar back to the starting position as you breathe out and push the bar using your triceps muscles. Lock your arms in the contracted position, hold for a second and then start coming down slowly again. Tip: It should take at least twice as long to go down than to come up."",""Repeat the movement for the prescribed amount of repetitions."",""When you are done, place the bar back in the rack.""}",Strength,Chest,Barbell,Intermediate
Dumbbell Flyes,8.9,"{""Lie down on a flat bench with a dumbbell on each hand resting on top of your thighs. The palms of your hand will be facing each other."",""Then using your thighs to help raise the dumbbells, lift the dumbbells one at a time so you can hold them in front of you at shoulder width with the palms of your hands facing each other. Raise the dumbbells up like you're pressing them, but stop and hold just before you lock out. This will be your starting position."",""With a slight bend on your elbows in order to prevent stress at the biceps tendon, lower your arms out at both sides in a wide arc until you feel a stretch on your chest. Breathe in as you perform this portion of the movement. Tip: Keep in mind that throughout the movement, the arms should remain stationary; the movement should only occur at the shoulder joint."",""Return your arms back to the starting position as you squeeze your chest muscles and breathe out. Tip: Make sure to use the same arc of motion used to lower the weights."",""Hold for a second at the contracted position and repeat the movement for the prescribed amount of repetitions.""}",Strength,Chest,Dumbbell,Intermediate
Incline dumbbell bench press,8.9,"{""Lie back on an incline bench with a dumbbell in each hand atop your thighs. The palms of your hands will be facing each other."",""Then, using your thighs to help push the dumbbells up, lift the dumbbells one at a time so that you can hold them at shoulder width."",""Once you have the dumbbells raised to shoulder width, rotate your wrists forward so that the palms of your hands are facing away from you. This will be your starting position."",""Be sure to keep full control of the dumbbells at all times. Then breathe out and push the dumbbells up with your chest."",""Lock your arms at the top, hold for a second, and then start slowly lowering the weight. Tip Ideally, lowering the weights should take about twice as long as raising them."",""Repeat the movement for the prescribed amount of repetitions."",""When you are done, place the dumbbells back on your thighs and then on the floor. This is the safest manner to release the dumbbells.""}",Strength,Chest,Dumbbell,Intermediate
Low-cable cross-over,8.9,"{""To move into the starting position, place the pulleys at the low position, select the resistance to be used and grasp a handle in each hand."",""Step forward, gaining tension in the pulleys. Your palms should be facing forward, hands below the waist, and your arms straight. This will be your starting position."",""With a slight bend in your arms, draw your hands upward and toward the midline of your body. Your hands should come together in front of your chest, palms facing up."",""Return your arms back to the starting position after a brief pause.""}",Strength,Chest,Cable,Intermediate
Barbell Bench Press - Medium Grip,8.8,"{""Lie back on a flat bench. Using a medium width grip (a grip that creates a 90-degree angle in the middle of the movement between the forearms and the upper arms), lift the bar from the rack and hold it straight over you with your arms locked. This will be your starting position."",""From the starting position, breathe in and begin coming down slowly until the bar touches your middle chest."",""After a brief pause, push the bar back to the starting position as you breathe out. Focus on pushing the bar using your chest muscles. Lock your arms and squeeze your chest in the contracted position at the top of the motion, hold for a second and then start coming down slowly again. Tip: Ideally, lowering the weight should take about twice as long as raising it."",""Repeat the movement for the prescribed amount of repetitions."",""When you are done, place the bar back in the rack.""}",Strength,Chest,Barbell,Intermediate
Exercise ball chest stretch,8.8,"{""Get on your hands and knees next to an exercise ball."",""Place your elbows on top of the ball, keeping your arm out to your side. This will be your starting position."",""Lower your torso towards the floor, keeping your elbow on top of the ball. Hold the stretch for 20-30 seconds, and repeat with the other arm.""}",Stretching,Chest,Exercise Ball,Beginner
Pass-through stretch with band,8.8,"{""Start off by standing with your legs together, holding a bodybar or a broomstick."",""Take a slightly wider than shoulder width grip on the pole and hold it in front of you with your palms facing down."",""Carefully lift the pole up and behind your head.""}",Stretching,Chest,Other,Beginner
Rickshaw Carry,8.8,"{""Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight."",""Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.""}",Strongman,Forearms,Other,Beginner
Elbow plank,8.8,"{""Get into a prone position on the floor, supporting your weight on your toes and your forearms. Your arms are bent and directly below the shoulder."",""Keep your body straight at all times, and hold this position as long as possible. To increase difficulty, an arm or leg can be raised.""}",Strength,Abdominals,Body Only,Intermediate
Cable Crossover,8.8,"{""To get yourself into the starting position, place the pulleys on a high position (above your head), select the resistance to be used and hold the pulleys in each hand."",""Step forward in front of an imaginary straight line between both pulleys while pulling your arms together in front of you. Your torso should have a small forward bend from the waist. This will be your starting position."",""With a slight bend on your elbows in order to prevent stress at the biceps tendon, extend your arms to the side (straight out at both sides) in a wide arc until you feel a stretch on your chest. Breathe in as you perform this portion of the movement. Tip: Keep in mind that throughout the movement, the arms and torso should remain stationary; the movement should only occur at the shoulder joint."",""Return your arms back to the starting position as you breathe out. Make sure to use the same arc of motion used to lower the weights."",""Hold for a second at the starting position and repeat the movement for the prescribed amount of repetitions.""}",Strength,Chest,Cable,Intermediate
Barbell Incline Bench Press Medium-Grip,8.8,"{""Load the bar to an appropriate weight for your training."",""Lay on the bench with your feet flat on the ground, driving through to your hips. Your back should be arched, and your shoulder blades retracted."",""Take a medium, pronated grip covering the rings on the bar. Remove the bar from the rack, holding the weight above your chest with your arms extended. This will be your starting position."",""Lower the bar to the sternum by flexing the elbows. Maintain control and do not bounce the bar off of your chest. Your lats should stay tight and elbows slightly drawn in."",""After touching your torso with the bar, extend the elbows to return the bar to the starting position.""}",Strength,Chest,Barbell,Intermediate
Incline Dumbbell Flyes,8.7,"{""Hold a dumbbell on each hand and lie on an incline bench that is set to an incline angle of no more than 30 degrees."",""Extend your arms above you with a slight bend at the elbows."",""Now rotate the wrists so that the palms of your hands are facing you. Tip: The pinky fingers should be next to each other. This will be your starting position."",""As you breathe in, start to slowly lower the arms to the side while keeping the arms extended and while rotating the wrists until the palms of the hand are facing each other. Tip: At the end of the movement the arms will be by your side with the palms facing the ceiling."",""As you exhale start to bring the dumbbells back up to the starting position by reversing the motion and rotating the hands so that the pinky fingers are next to each other again. Tip: Keep in mind that the movement will only happen at the shoulder joint and at the wrist. There is no motion that happens at the elbow joint."",""Repeat for the recommended amount of repetitions.""}",Strength,Chest,Dumbbell,Intermediate
Drop Push,8.7,"{""Position low boxes or other platforms 2-3 feet apart."",""Move to a pushup position between them, supporting yourself by placing your hands on the boxes."",""With good posture, drop from the platforms by pressing up and moving your hands to shoulder width, cushioning your landing by absorbing the impact through the arm.""}",Plyometrics,Chest,Other,Beginner
Close-grip EZ-bar bench press,8.7,,Strength,Chest,E-Z Curl Bar,Intermediate
Incline Push-Up,8.7,"{""Stand facing bench or sturdy elevated platform. Place hands on edge of bench or platform, slightly wider than shoulder width."",""Position forefoot back from bench or platform with arms and body straight. Arms should be perpendicular to body. Keeping body straight, lower chest to edge of box or platform by bending arms."",""Push body up until arms are extended. Repeat.""}",Strength,Chest,Body Only,Intermediate
Neck Press,8.6,"{""Lie back on a flat bench. Using a medium-width grip (a grip that creates a 90-degree angle in the middle of the movement between the forearms and the upper arms), lift the bar from the rack and hold it straight over your neck with your arms locked. This will be your starting position."",""As you breathe in, come down slowly until you feel the bar on your neck."",""After a second pause, bring the bar back to the starting position as you breathe out and push the bar using your chest muscles. Lock your arms and squeeze your chest in the contracted position, hold for a second and then start coming down slowly again. Tip: It should take at least twice as long to go down than to come up)."",""Repeat the movement for the prescribed amount of repetitions."",""When you are done, place the bar back in the rack.""}",Strength,Chest,Barbell,Beginner
Incline cable chest press,8.6,"{""Adjust the weight to an appropriate amount and be seated, grasping the handles. Your upper arms should be about 45 degrees to the body, with your head and chest up. The elbows should be bent to about 90 degrees. This will be your starting position."",""Begin by extending through the elbow, pressing the handles together straight in front of you. Keep your shoulder blades retracted as you execute the movement."",""After pausing at full extension, return to the starting position, keeping tension on the cables.""}",Strength,Chest,Cable,Beginner
Neutral-grip dumbbell bench press,8.6,"{""Take a dumbbell in each hand and lay back onto a flat bench. Your feet should be flat on the floor and your shoulder blades retracted."",""Maintaining a neutral grip, palms facing each other, begin with your arms extended directly above you, perpendicular to the floor. This will be your starting position."",""Begin the movement by flexing the elbow, lowering the upper arms to the side. Descend until the dumbbells are to your torso."",""Pause, then extend the elbow and return to the starting position.""}",Strength,Chest,Dumbbell,Intermediate
Cable Chest Press,8.6,"{""Adjust the weight to an appropriate amount and be seated, grasping the handles. Your upper arms should be about 45 degrees to the body, with your head and chest up. The elbows should be bent to about 90 degrees. This will be your starting position."",""Begin by extending through the elbow, pressing the handles together straight in front of you. Keep your shoulder blades retracted as you execute the movement."",""After pausing at full extension, return to th starting position, keeping tension on the cables."",""You can also execute this movement with your back off the pad, at an incline or decline, or alternate hands.""}",Strength,Chest,Cable,Beginner
Hands-elevated push-up,8.5,"{""Stand facing a Smith machine bar or sturdy elevated platform at an appropriate height."",""Place your hands on the bar, with your hands about shoulder width apart."",""Position your feet back from the bar with arms and body straight. This will be your starting position."",""Keeping your body straight, lower your chest to the bar by bending the arms."",""Return to the starting position by extending the elbows, pressing yourself back up.""}",Strength,Chest,Body Only,Beginner
Single-arm cable cross-over,8.5,"{""Begin by moving the pulleys to the high position, select the resistance to be used, and take a handle in each hand."",""Step forward in front of both pulleys with your arms extended in front of you, bringing your hands together. Your head and chest should be up as you lean forward, while your feet should be staggered. This will be your starting position."",""Keeping your left arm in place, allow your right arm to extend out to the side, maintaining a slight bend at the elbow. The right arm should be perpendicular to the body at approximately shoulder level."",""Return your arm back to the starting position by pulling your hand back to the midline of the body."",""Hold for a second at the starting position and repeat the movement on the opposite side. Continue alternating back and forth for the prescribed number of repetitions.""}",Strength,Chest,Cable,Intermediate
Single-Arm Push-Up,8.5,"{""Begin laying prone on the ground. Move yourself into a position supporting your weight on your toes and one arm. Your working arm should be placed directly under the shoulder, fully extended. Your legs should be extended, and for this movement you may need a wider base, placing your feet further apart than in a normal push-up."",""Maintain good posture, and place your free hand behind your back. This will be your starting position."",""Lower yourself by allowing the elbow to flex until you touch the ground."",""Descend slowly, and reverse direction be extending the arm to return to the starting position.""}",Strength,Chest,Body Only,Beginner
Leverage Incline Chest Press,8.5,"{""Load an appropriate weight onto the pins and adjust the seat for your height. The handles should be near the top of the pectorals at the beginning of the motion. Your chest and head should be up and your shoulder blades retracted. This will be your starting position."",""Press the handles forward by extending through the elbow."",""After a brief pause at the top, return the weight just above the start position, keeping tension on the muscles by not returning the weight to the stops until the set is complete.""}",Strength,Chest,Machine,Beginner
Close push-up to wide push-up,8.5,"{""Lie on the floor face down and body straight with your toes on the floor and the hands wider than shoulder width for a wide hand position and closer than shoulder width for a close hand position. Make sure you are holding your torso up at arms length."",""Lower yourself until your chest almost touches the floor as you inhale."",""Using your pectoral muscles, press your upper body back up to the starting position and squeeze your chest. Breathe out as you perform this step."",""After a second pause at the contracted position, repeat the movement for the prescribed amount of repetitions.""}",Strength,Chest,Body Only,Intermediate
Butterfly,8.5,"{""Sit on the machine with your back flat on the pad."",""Take hold of the handles. Tip: Your upper arms should be positioned parallel to the floor; adjust the machine accordingly. This will be your starting position."",""Push the handles together slowly as you squeeze your chest in the middle. Breathe out during this part of the motion and hold the contraction for a second."",""Return back to the starting position slowly as you inhale until your chest muscles are fully stretched."",""Repeat for the recommended amount of repetitions.""}",Strength,Chest,Machine,Intermediate
Decline dumbbell bench press,8.5,"{""Secure your legs at the end of the decline bench and lie down with a dumbbell on each hand on top of your thighs. The palms of your hand will be facing each other."",""Once you are laying down, move the dumbbells in front of you at shoulder width."",""Once at shoulder width, rotate your wrists forward so that the palms of your hands are facing away from you. This will be your starting position."",""Bring down the weights slowly to your side as you breathe out. Keep full control of the dumbbells at all times. Tip: Throughout the motion, the forearms should always be perpendicular to the floor."",""As you breathe out, push the dumbbells up using your pectoral muscles. Lock your arms in the contracted position, squeeze your chest, hold for a second and then start coming down slowly. Tip: It should take at least twice as long to go down than to come up.."",""Repeat the movement for the prescribed amount of repetitions of your training program.""}",Strength,Chest,Dumbbell,Intermediate
Single-arm kettlebell row,8.5,"{""Lie down on a flat bench with a dumbbell in one hand on top of your thigh."",""By using your thigh to help you get the dumbbell up, clean the dumbbell up so that you can hold it in front of you at shoulder width. Use the hand you are not lifting with to help position the dumbbell over you properly."",""Once at shoulder width, rotate your wrist forward so that the palm of your hand is facing away from you. This will be your starting position."",""Bring down the weights slowly to your side as you breathe in. Keep full control of the dumbbell at all times. Tip: Use the hand that you are not lifting with to help keep the dumbbell balance as you may struggle a bit at first. Only use your non-lifting hand if it is needed. Otherwise, keep it resting to the side."",""As you breathe out, push the dumbbells up using your pectoral muscles. Lock your arms in the contracted position, squeeze your chest, hold for a second and then start coming down slowly. Tip: It should take at least twice as long to go down than to come up."",""Repeat the movement for the prescribed amount of repetitions of your training program."",""Switch arms and repeat the movement.""}",Strength,Chest,Dumbbell,Intermediate
Hammer Grip Incline DB Bench Press,8.5,"{""Lie back on an incline bench with a dumbbell on each hand on top of your thighs. The palms of your hand will be facing each other."",""By using your thighs to help you get the dumbbells up, clean the dumbbells one arm at a time so that you can hold them at shoulder width."",""Once at shoulder width, keep the palms of your hands with a neutral grip (palms facing each other). Keep your elbows flared out with the upper arms in line with the shoulders (perpendicular to the torso) and the elbows bent creating a 90-degree angle between the upper arm and the forearm. This will be your starting position."",""Now bring down the weights slowly to your side as you breathe in. Keep full control of the dumbbells at all times."",""As you breathe out, push the dumbbells up using your pectoral muscles. Lock your arms in the contracted position, hold for a second and then start coming down slowly. Tip: It should take at least twice as long to go down than to come up."",""Repeat the movement for the prescribed amount of repetitions."",""When you are done, place the dumbbells back in your thighs and then on the floor. This is the safest manner to dispose of the dumbbells.""}",Strength,Chest,Dumbbell,Beginner
Wide-grip hands-elevated push-up,8.4,"{""Stand facing a Smith machine bar or sturdy elevated platform at an appropriate height."",""Place your hands on the bar, with your hands wider than shoulder width."",""Position your feet back from the bar with arms and body straight. Your arms should be perpendicular to the body. This will be your starting position."",""Keeping your body straight, lower your chest to the bar by bending the arms."",""Return to the starting position by extending the elbows, pressing yourself back up.""}",Strength,Chest,Body Only,Beginner
Monster Walk,8.4,"{""Place a band around both ankles and another around both knees. There should be enough tension that they are tight when your feet are shoulder width apart."",""To begin, take short steps forward alternating your left and right foot."",""After several steps, do just the opposite and walk backward to where you started.""}",Strength,Abductors,Body Only,Intermediate
Push-Ups With Feet On An Exercise Ball,8.4,"{""Lie on the floor face down and place your hands about 36 inches apart from each other holding your torso up at arms length."",""Place your toes on top of an exercise ball. This will allow your body to be elevated."",""Lower yourself until your chest almost touches the floor as you inhale."",""Using your pectoral muscles, press your upper body back up to the starting position and squeeze your chest. Breathe out as you perform this step."",""After a second pause at the contracted position, repeat the movement for the prescribed amount of repetitions.""}",Strength,Chest,Body Only,Intermediate
Feet-elevated push-up,8.4,"{""Lie on the floor face down and place your hands about 36 inches apart from each other holding your torso up at arms length."",""Place your toes on top of a flat bench. This will allow your body to be elevated. Note: The higher the elevation of the flat bench, the higher the resistance of the exercise is."",""Lower yourself until your chest almost touches the floor as you inhale."",""Using your pectoral muscles, press your upper body back up to the starting position and squeeze your chest. Breathe out as you perform this step."",""After a second pause at the contracted position, repeat the movement for the prescribed amount of repetitions.""}",Strength,Chest,Body Only,Intermediate
Leverage Chest Press,8.4,"{""Load an appropriate weight onto the pins and adjust the seat for your height. The handles should be near the bottom or middle of the pectorals at the beginning of the motion."",""Your chest and head should be up and your shoulder blades retracted. This will be your starting position."",""Press the handles forward by extending through the elbow."",""After a brief pause at the top, return the weight just above the start position, keeping tension on the muscles by not returning the weight to the stops until the set is complete.""}",Strength,Chest,Machine,Beginner
Straight-arm dumbbell pull-over,8.4,,Strength,Chest,Dumbbell,Intermediate
Decline Smith Press,8.3,"{""Place a decline bench underneath the Smith machine. Now place the barbell at a height that you can reach when lying down and your arms are almost fully extended. Using a pronated grip that is wider than shoulder width, unlock the bar from the rack and hold it straight over you with your arms extended. This will be your starting position."",""As you inhale, lower the bar under control by allowing the elbows to flex, lightly contacting the torso."",""After a brief pause, bring the bar back to the starting position by extending the elbows, exhaling as you do so."",""Repeat the movement for the prescribed amount of repetitions."",""When the set is complete, lock the bar back in the rack.""}",Strength,Chest,Machine,Beginner
Isometric Wipers,8.3,"{""Assume a push-up position, supporting your weight on your hands and toes while keeping your body straight. Your hands should be just outside of shoulder width. This will be your starting position."",""Begin by shifting your body weight as far to one side as possible, allowing the elbow on that side to flex as you lower your body."",""Reverse the motion by extending the flexed arm, pushing yourself up and then dropping to the other side."",""Repeat for the desired number of repetitions.""}",Strength,Chest,Body Only,Beginner
Cable cross-over,8.3,"{""Begin by moving the pulleys to the high position, select the resistance to be used, and take a handle in each hand."",""Stand directly between both pulleys with your arms extended out to your sides. Your head and chest should be up while your arms form a â€œTâ€. This will be your starting position."",""Keeping the elbows extended, pull your arms straight to your sides."",""Return your arms back to the starting position after a pause at the peak contraction."",""Continue the movement for the prescribed number of repetitions.""}",Strength,Chest,Cable,Beginner
Incline Dumbbell Bench With Palms Facing In,8.3,"{""Lie back on an incline bench with a dumbbell on each hand on top of your thighs. The palms of your hand will be facing each other."",""By using your thighs to help you get the dumbbells up, clean the dumbbells one arm at a time so that you can hold them at shoulder width."",""Once at shoulder width, keep the palms of your hands with a neutral grip (palms facing each other). Keep your elbows flared out with the upper arms in line with the shoulders (perpendicular to the torso) and the elbows bent creating a 90-degree angle between the upper arm and the forearm. This will be your starting position."",""Now bring down the weights slowly to your side as you breathe in. Keep full control of the dumbbells at all times."",""As you breathe out, push the dumbbells up using your pectoral muscles. Lock your arms in the contracted position, hold for a second and then start coming down slowly. Tip: It should take at least twice as long to go down than to come up."",""Repeat the movement for the prescribed amount of repetitions."",""When you are done, place the dumbbells back in your thighs and then on the floor. This is the safest manner to dispose of the dumbbells.""}",Strength,Chest,Dumbbell,Beginner
Clock push-up,8.3,"{""Move into a prone position on the floor, supporting your weight on your hands and toes."",""Your arms should be fully extended with the hands around shoulder width. Keep your body straight throughout the movement. This will be your starting position."",""Descend by flexing at the elbow, lowering your chest toward the ground."",""At the bottom, reverse the motion by pushing yourself up through elbow extension as quickly as possible until you are air borne. Aim to â€œjumpâ€ 12-18 inches to one side."",""As you accelerate up, move your outside foot away from your direction of travel. Leaving the ground, shift your body about 30 degrees for the next repetition."",""Return to the starting position and repeat the exercise, working all the way around until you are back where you started.""}",Strength,Chest,Body Only,Beginner
Standing side bend stretch,9,"{""Take a slightly wider than hip distance stance with your knees slightly bent."",""Place your right hand on your right hip to support the spine."",""Raise your left arm in a vertical line and place your left hand behind your head. Keep it there as you incline your torso to the right."",""Keep your weight evenly distributed between both legs (don't lean into your left hip). Switch sides.""}",Stretching,Lats,Body Only,Intermediate
Push Up to Side Plank,8.3,"{""Get into pushup position on the toes with your hands just outside of shoulder width."",""Perform a pushup by allowing the elbows to flex. As you descend, keep your body straight."",""Do one pushup and as you come up, shift your weight on the left side of the body, twist to the side while bringing the right arm up towards the ceiling in a side plank."",""Lower the arm back to the floor for another pushup and then twist to the other side."",""Repeat the series, alternating each side, for 10 or more reps.""}",Strength,Chest,Body Only,Intermediate
Smith machine bench press,8.3,"{""Place a flat bench underneath the smith machine. Now place the barbell at a height that you can reach when lying down and your arms are almost fully extended. Once the weight you need is selected, lie down on the flat bench. Using a pronated grip that is wider than shoulder width, unlock the bar from the rack and hold it straight over you with your arms locked. This will be your starting position."",""As you breathe in, come down slowly until you feel the bar on your middle chest."",""After a second pause, bring the bar back to the starting position as you breathe out and push the bar using your chest muscles. Lock your arms in the contracted position, hold for a second and then start coming down slowly again. Tip: It should take at least twice as long to go down than to come up."",""Repeat the movement for the prescribed amount of repetitions."",""When you are done, lock the bar back in the rack.""}",Strength,Chest,Machine,Intermediate
Front Raise And Pullover,8.3,"{""Lie on a flat bench while holding a barbell using a palms down grip that is about 15 inches apart."",""Place the bar on your upper thighs, extend your arms and lock them while keeping a slight bend on the elbows. This will be your starting position."",""Now raise the weight using a semicircular motion and keeping your arms straight as you inhale. Continue the same movement until the bar is on the other side above your head . (Tip: the bar will travel approximately 180-degrees). At this point your arms should be parallel to the floor with the palms of your hands facing the ceiling."",""Now return the barbell to the starting position by reversing the motion as you exhale."",""Repeat for the recommended amount of repetitions.""}",Strength,Chest,Barbell,Beginner
Leverage Decline Chest Press,8.2,"{""Load an appropriate weight onto the pins and adjust the seat for your height. The handles should be near the bottom of the pectorals at the beginning of the motion. Your chest and head should be up and your shoulder blades retracted. This will be your starting position."",""Press the handles forward by extending through the elbow."",""After a brief pause at the top, return the weight just above the start position, keeping tension on the muscles by not returning the weight to the stops until the set is complete.""}",Strength,Chest,Machine,Beginner
Incline Push-Up Depth Jump,8.2,"{""For this drill you will need a box about 12 inches high, and two thick mats or aerobics steps."",""Place the steps just outside of your shoulders, and place your feet on top of the box so that you are in an incline pushup position, your hands just inside the steps. This will be your starting position."",""Begin by bending at the elbows to lower your body, quickly reversing position to push your body off of the ground. As you leave the ground, move your hands onto the steps, bending your elbows to absorb the impact."",""Repeat the motion to return to the starting position.""}",Plyometrics,Chest,Body Only,Intermediate
Push-Up Wide,8.2,"{""With your hands wide apart, support your body on your toes and hands in a plank position. Your elbows should be extended and your body straight. Do not allow your hips to sag. This will be your starting position."",""To begin, allow the elbows to flex, lowering your chest to the floor as you inhale."",""Using your pectoral muscles, press your upper body back up to the starting position by extending the elbows. Exhale as you perform this step."",""After pausing at the contracted position, repeat the movement for the prescribed amount of repetitions.""}",Strength,Chest,Body Only,Beginner
